Name,Ticker,BSCLink,Average 10 Recent Transfers,Coin Launch,Top 10 Holders %,Price,MarketCap,Liquidity,24 Hours Volume,24 Hours Change %
Are you a cu... (CUNT),CUNT,https://bscscan.com/token/0x170fcbbba40f0164ec093aa851dc7ff2dd29231f,1.7 secs,1 hr 22 mins ago,0.2457%,$0.000000000223841,"$2,238,412","$798,904",,250.92%
BIGDOG (BDOG),BDOG,https://bscscan.com/token/0xf1e56c8958200d5a88121eece63263c9c9aab258,1.0 mins,1 day 1 hr ago,0.0000%,$0.00000000000709603,"$7,096","$2,913",,0%
Pancake LPs (Cake-L...),Cake-L...,https://bscscan.com/token/0xaa359a601ec3bd46c04c5f8f6a77d4ac9310a39d,6.0 secs,52 days 20 hrs ago,0.0000%,$0,,,,0%
PantherSwap ... (PANTHE...),PANTHE...,https://bscscan.com/token/0x9287f5ad55d7ee8eae90b865718eb9a7cf3fb71a,5.4 secs,7 days 4 hrs ago,0.0005%,,,,,
TeaCrypto Fi... (TCF),TCF,https://bscscan.com/token/0xd78bd47a6934959583b47f081ce0f9fd5e0338d1,2.7 secs,1 day 21 hrs ago,0.0862%,$0.000000277671,"$277,671",$274,"$6,265",-40.85%
TasteNFT (TASTE),TASTE,https://bscscan.com/token/0xdb238123939637d65a03e4b2b485650b4f9d91cb,5.8 secs,21 hrs 31 mins ago,0.1643%,$0.0000000163710,"$11,238,718","$1,724,489","$18,127,837",65.68%
EXFelix (EXFeli...),EXFeli...,https://bscscan.com/token/0x529d5fe5a9a3fdcda1e74f6fbf4388addaf71bb0,48.0 secs,74 days 10 hrs ago,0.5400%,$4.45193,"$344,824","$23,424","$33,535",96.42%
ZETBNB Token (ZETBNB),ZETBNB,https://bscscan.com/token/0xb89add4a17eadb084a065f9cace752a268dab8b3,2.6 secs,3 days 1 hr ago,0.0081%,$0.00000000286974,"$2,719,947","$1,645","$13,681",-84.74%
UltraSafe (ULTRA),ULTRA,https://bscscan.com/token/0x0b3f42481c228f70756dbfa0309d3ddc2a5e0f6a,6.0 secs,1 day 21 hrs ago,0.4000%,$0.0000000599087,"$41,936,102","$3,454,133","$15,969,781",626.01%
BNB Diamond (BNBD),BNBD,https://bscscan.com/token/0x3c730718c97a77562866b5d29b33228c019eac68,2.3 secs,4 days 2 hrs ago,0.0201%,$0.000000146078,"$22,954,040","$1,733,625","$2,463,989",61.26%
MICROBULLY (MRB),MRB,https://bscscan.com/token/0xd5f721535177ee3f520b9b18de598e359014f403,4.7 secs,2 hrs 1 min ago,0.0063%,$0.00000000777639,"$7,776,398","$175,035","$240,894",291.84%
Bieek (BIEEK),BIEEK,https://bscscan.com/token/0x26f3f690526b50b935f8959be9c58b5bd0da7f82,1.2 mins,26 days 15 hrs ago,0.0000%,,,,,
Safe Crypto ... (SCAM),SCAM,https://bscscan.com/token/0xdb78fcbb4f1693fdbf7a85e970946e4ce466e2a9,42.0 secs,15 days 11 hrs ago,1.0000%,$0.000322651,"$32,265","$3,990","$45,584",-11.13%
lUSD (lUSD),lUSD,https://bscscan.com/token/0x23e8a70534308a4aaf76fb8c32ec13d17a3bd89e,18.0 secs,39 days 8 hrs ago,0.1811%,$0.952373,"$5,935,550","$92,662",$510,-18.75%
lVET (lVET),lVET,https://bscscan.com/token/0xf344a57ba1783e1e736827a2c2209844394d560a,36.0 secs,51 days 1 hr ago,0.0661%,,,,,
YUMMY (YUMMY),YUMMY,https://bscscan.com/token/0x05f2df7b3d612a23fe12162a6c996447dce728a5,2.9 secs,14 days 20 hrs ago,0.2271%,$0.000266058,"$191,052,783","$7,451,230","$38,548,247",233.52%
